requirement_id,requirement_text,requirement_type,coverage_id,coverage_description,suite_id,suite_name,test_case_id,technique,risk_level
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-007,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-021,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-011,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-022,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-010,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-023,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-008,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-024,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-012,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-025,State Transition Testing,Medium
REQ-STATE-MODEL,State model derived requirement,derived,COV-STATE-TR-013,State transition coverage derived from the generated behavior model,TS-044,State Transition Model Suite,TC-026,State Transition Testing,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-065,Test data range and boundaries: listId:any,TS-007,Todo Cleanup Boundary,TC-027,Boundary Value Analysis,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-065,Test data range and boundaries: listId:any,TS-007,Todo Cleanup Boundary,TC-028,Boundary Value Analysis,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-065,Test data range and boundaries: listId:any,TS-007,Todo Cleanup Boundary,TC-029,Boundary Value Analysis,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-063,Validate condition: list exists,TS-008,Todo Cleanup Decision Rule,TC-030,Decision Table Testing,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-063,Validate condition: list exists,TS-008,Todo Cleanup Decision Rule,TC-031,Decision Table Testing,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-064,Validate condition: there are completed items,TS-008,Todo Cleanup Decision Rule,TC-032,Decision Table Testing,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-064,Validate condition: there are completed items,TS-008,Todo Cleanup Decision Rule,TC-033,Decision Table Testing,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-077,Verify clearing completed items when there are none does not cause error,TS-009,Todo Cleanup Partition Error,TC-034,Equivalence Partitioning,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-077,Verify clearing completed items when there are none does not cause error,TS-009,Todo Cleanup Partition Error,TC-035,Equivalence Partitioning,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-061,Verify core behavior: clear all completed items,TS-010,Todo Cleanup Partition Functional,TC-036,Equivalence Partitioning,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-061,Verify core behavior: clear all completed items,TS-010,Todo Cleanup Partition Functional,TC-037,Equivalence Partitioning,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-062,Test input field 'listId' with valid and invalid data,TS-011,Todo Cleanup Partition Input,TC-038,Equivalence Partitioning,Medium
REQ-TODO-013,Users shall be able to clear all completed Todo items in the current List at once.,original,COV-062,Test input field 'listId' with valid and invalid data,TS-011,Todo Cleanup Partition Input,TC-039,Equivalence Partitioning,Medium
REQ-TODO-005,Users shall be able to toggle a Todo item between active and completed status.,original,COV-023,Test data range and boundaries: todoId:any,TS-012,Todo Completion Boundary,TC-040,Boundary Value Analysis,Medium
REQ-TODO-005,Users shall be able to toggle a Todo item between active and completed status.,original,COV-023,Test data range and boundaries: todoId:any,TS-012,Todo Completion Boundary,TC-041,Boundary Value Analysis,Medium
REQ-TODO-005,Users shall be able to toggle a Todo item between active and completed status.,original,COV-023,Test data range and boundaries: todoId:any,TS-012,Todo Completion Boundary,TC-042,Boundary Value Analysis,Medium
REQ-TODO-005,Users shall be able to toggle a Todo item between active and completed status.,original,COV-022,Validate condition: todo item exists,TS-013,Todo Completion Decision Rule,TC-043,Decision Table Testing,Medium
REQ-TODO-005,Users shall be able to toggle a Todo item between active and completed status.,original,COV-022,Validate condition: todo item exists,TS-013,Todo Completion Decision Rule,TC-044,Decision Table Testing,Medium
REQ-TODO-005,Users shall be able to toggle a Todo item between active and completed status.,original,COV-021,Test input field 'todoId' with valid and invalid data,TS-014,Todo Completion Partition Input,TC-045,Equivalence Partitioning,Medium
REQ-TODO-005,Users shall be able to toggle a Todo item between active and completed status.,original,COV-021,Test input field 'todoId' with valid and invalid data,TS-014,Todo Completion Partition Input,TC-046,Equivalence Partitioning,Medium
REQ-TODO-005,Users shall be able to toggle a Todo item between active and completed status.,original,COV-020,Verify core behavior: toggle status between active and completed,TS-015,Todo Completion State Functional,TC-047,State Transition Testing,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-006,Test data range and boundaries: listId:any,TS-017,Todo Creation Boundary,TC-048,Boundary Value Analysis,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-006,Test data range and boundaries: listId:any,TS-017,Todo Creation Boundary,TC-049,Boundary Value Analysis,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-006,Test data range and boundaries: listId:any,TS-017,Todo Creation Boundary,TC-050,Boundary Value Analysis,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-007,Test data range and boundaries: title:non-empty string,TS-017,Todo Creation Boundary,TC-051,Boundary Value Analysis,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-007,Test data range and boundaries: title:non-empty string,TS-017,Todo Creation Boundary,TC-052,Boundary Value Analysis,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-007,Test data range and boundaries: title:non-empty string,TS-017,Todo Creation Boundary,TC-053,Boundary Value Analysis,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-004,Validate condition: listId exists,TS-018,Todo Creation Decision Rule,TC-054,Decision Table Testing,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-004,Validate condition: listId exists,TS-018,Todo Creation Decision Rule,TC-055,Decision Table Testing,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-005,Validate condition: title is not empty,TS-018,Todo Creation Decision Rule,TC-056,Decision Table Testing,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-005,Validate condition: title is not empty,TS-018,Todo Creation Decision Rule,TC-057,Decision Table Testing,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-001,Verify core behavior: add todo item to list,TS-019,Todo Creation Partition Functional,TC-058,Equivalence Partitioning,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-001,Verify core behavior: add todo item to list,TS-019,Todo Creation Partition Functional,TC-059,Equivalence Partitioning,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-002,Test input field 'listId' with valid and invalid data,TS-020,Todo Creation Partition Input,TC-060,Equivalence Partitioning,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-002,Test input field 'listId' with valid and invalid data,TS-020,Todo Creation Partition Input,TC-061,Equivalence Partitioning,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-003,Test input field 'title' with valid and invalid data,TS-020,Todo Creation Partition Input,TC-062,Equivalence Partitioning,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-003,Test input field 'title' with valid and invalid data,TS-020,Todo Creation Partition Input,TC-063,Equivalence Partitioning,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-048,Test data range and boundaries: todoId:any,TS-022,Todo Deletion Boundary,TC-064,Boundary Value Analysis,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-048,Test data range and boundaries: todoId:any,TS-022,Todo Deletion Boundary,TC-065,Boundary Value Analysis,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-048,Test data range and boundaries: todoId:any,TS-022,Todo Deletion Boundary,TC-066,Boundary Value Analysis,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-047,Validate condition: todo item exists,TS-023,Todo Deletion Decision Rule,TC-067,Decision Table Testing,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-047,Validate condition: todo item exists,TS-023,Todo Deletion Decision Rule,TC-068,Decision Table Testing,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-045,Verify core behavior: delete single todo item,TS-024,Todo Deletion Partition Functional,TC-069,Equivalence Partitioning,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-045,Verify core behavior: delete single todo item,TS-024,Todo Deletion Partition Functional,TC-070,Equivalence Partitioning,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-046,Test input field 'todoId' with valid and invalid data,TS-025,Todo Deletion Partition Input,TC-071,Equivalence Partitioning,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-046,Test input field 'todoId' with valid and invalid data,TS-025,Todo Deletion Partition Input,TC-072,Equivalence Partitioning,Medium
REQ-TODO-010,Users shall be able to delete a single Todo item.,original,COV-075,Verify deleting a non-existent todo item returns appropriate error,TS-026,Todo Deletion State Behavior Suite,TC-073,State Transition Testing,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-027,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-074,Boundary Value Analysis,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-027,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-075,Boundary Value Analysis,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-027,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-076,Boundary Value Analysis,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-027,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-077,Boundary Value Analysis,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-033,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-078,Boundary Value Analysis,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-033,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-079,Boundary Value Analysis,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-033,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-080,Boundary Value Analysis,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-033,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-081,Boundary Value Analysis,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-034,Test data range and boundaries: newTitle:non-empty string,TS-027,Todo Editing Boundary Suite,TC-082,Boundary Value Analysis,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-034,Test data range and boundaries: newTitle:non-empty string,TS-027,Todo Editing Boundary Suite,TC-083,Boundary Value Analysis,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-034,Test data range and boundaries: newTitle:non-empty string,TS-027,Todo Editing Boundary Suite,TC-084,Boundary Value Analysis,Medium
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-039,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-085,Boundary Value Analysis,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-039,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-086,Boundary Value Analysis,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-039,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-087,Boundary Value Analysis,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-040,Test data range and boundaries: newTitle:string,TS-027,Todo Editing Boundary Suite,TC-088,Boundary Value Analysis,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-040,Test data range and boundaries: newTitle:string,TS-027,Todo Editing Boundary Suite,TC-089,Boundary Value Analysis,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-040,Test data range and boundaries: newTitle:string,TS-027,Todo Editing Boundary Suite,TC-090,Boundary Value Analysis,High
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-044,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-091,Boundary Value Analysis,Medium
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-044,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-092,Boundary Value Analysis,Medium
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-044,Test data range and boundaries: todoId:any,TS-027,Todo Editing Boundary Suite,TC-093,Boundary Value Analysis,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-072,Test updating title to exactly 100 characters and 101 characters,TS-027,Todo Editing Boundary Suite,TC-094,Boundary Value Analysis,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-072,Test updating title to exactly 100 characters and 101 characters,TS-027,Todo Editing Boundary Suite,TC-095,Boundary Value Analysis,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-026,Validate condition: double-click on item label,TS-028,Todo Editing Decision Rule Suite,TC-096,Decision Table Testing,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-026,Validate condition: double-click on item label,TS-028,Todo Editing Decision Rule Suite,TC-097,Decision Table Testing,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-031,Validate condition: todo item exists,TS-028,Todo Editing Decision Rule Suite,TC-098,Decision Table Testing,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-031,Validate condition: todo item exists,TS-028,Todo Editing Decision Rule Suite,TC-099,Decision Table Testing,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-032,Validate condition: newTitle is not empty,TS-028,Todo Editing Decision Rule Suite,TC-100,Decision Table Testing,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-032,Validate condition: newTitle is not empty,TS-028,Todo Editing Decision Rule Suite,TC-101,Decision Table Testing,Medium
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-038,Validate condition: newTitle after trimming is empty,TS-028,Todo Editing Decision Rule Suite,TC-102,Decision Table Testing,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-038,Validate condition: newTitle after trimming is empty,TS-028,Todo Editing Decision Rule Suite,TC-103,Decision Table Testing,High
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-043,Validate condition: user presses Escape during edit,TS-028,Todo Editing Decision Rule Suite,TC-104,Decision Table Testing,Medium
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-043,Validate condition: user presses Escape during edit,TS-028,Todo Editing Decision Rule Suite,TC-105,Decision Table Testing,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-028,Verify core behavior: update title of todo item,TS-029,Todo Editing Partition Suite,TC-106,Equivalence Partitioning,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-028,Verify core behavior: update title of todo item,TS-029,Todo Editing Partition Suite,TC-107,Equivalence Partitioning,Medium
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-035,Verify core behavior: delete todo item,TS-029,Todo Editing Partition Suite,TC-108,Equivalence Partitioning,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-035,Verify core behavior: delete todo item,TS-029,Todo Editing Partition Suite,TC-109,Equivalence Partitioning,High
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-041,Verify core behavior: cancel editing,TS-029,Todo Editing Partition Suite,TC-110,Equivalence Partitioning,Medium
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-041,Verify core behavior: cancel editing,TS-029,Todo Editing Partition Suite,TC-111,Equivalence Partitioning,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-025,Test input field 'todoId' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-112,Equivalence Partitioning,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-025,Test input field 'todoId' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-113,Equivalence Partitioning,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-029,Test input field 'todoId' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-114,Equivalence Partitioning,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-029,Test input field 'todoId' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-115,Equivalence Partitioning,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-030,Test input field 'newTitle' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-116,Equivalence Partitioning,Medium
REQ-TODO-007,Users shall be able to update the title of an existing Todo item.,original,COV-030,Test input field 'newTitle' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-117,Equivalence Partitioning,Medium
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-036,Test input field 'todoId' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-118,Equivalence Partitioning,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-036,Test input field 'todoId' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-119,Equivalence Partitioning,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-037,Test input field 'newTitle' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-120,Equivalence Partitioning,High
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-037,Test input field 'newTitle' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-121,Equivalence Partitioning,High
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-042,Test input field 'todoId' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-122,Equivalence Partitioning,Medium
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-042,Test input field 'todoId' with valid and invalid data,TS-030,Todo Editing Input Partition Suite,TC-123,Equivalence Partitioning,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-071,Verify double-clicking on a non-existent todo item does not enter edit mode,TS-031,Todo Editing Error State Suite,TC-124,State Transition Testing,Medium
REQ-TODO-008,The system shall delete a Todo item when the edited title is saved as empty after trimming.,original,COV-073,"Verify deletion occurs when edited title is saved as empty after trimming, and confirm item is removed from list",TS-031,Todo Editing Error State Suite,TC-125,State Transition Testing,Medium
REQ-TODO-006,Users shall be able to enter Todo item edit mode by double-clicking the item label.,original,COV-024,Verify core behavior: enter edit mode,TS-032,Todo Editing Enter Edit Suite,TC-126,State Transition Testing,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-059,Test data range and boundaries: listId:any,TS-034,Todo Filter Boundary Suite,TC-127,Boundary Value Analysis,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-059,Test data range and boundaries: listId:any,TS-034,Todo Filter Boundary Suite,TC-128,Boundary Value Analysis,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-059,Test data range and boundaries: listId:any,TS-034,Todo Filter Boundary Suite,TC-129,Boundary Value Analysis,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-058,Verify filter returns correct items when list has items in all three states,TS-035,Todo Filter Decision Rule Suite,TC-130,Decision Table Testing,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-058,Verify filter returns correct items when list has items in all three states,TS-035,Todo Filter Decision Rule Suite,TC-131,Decision Table Testing,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-060,Test data range and boundaries: filter:All or Active or Completed,TS-036,Todo Filter Partition Suite,TC-132,Equivalence Partitioning,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-060,Test data range and boundaries: filter:All or Active or Completed,TS-036,Todo Filter Partition Suite,TC-133,Equivalence Partitioning,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-055,Verify core behavior: apply filter to todo items,TS-037,Todo Filter Functional Suite,TC-134,Equivalence Partitioning,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-055,Verify core behavior: apply filter to todo items,TS-037,Todo Filter Functional Suite,TC-135,Equivalence Partitioning,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-056,Test input field 'listId' with valid and invalid data,TS-038,Todo Filter Input Partition Suite,TC-136,Equivalence Partitioning,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-056,Test input field 'listId' with valid and invalid data,TS-038,Todo Filter Input Partition Suite,TC-137,Equivalence Partitioning,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-057,Test input field 'filter' with valid and invalid data,TS-038,Todo Filter Input Partition Suite,TC-138,Equivalence Partitioning,Medium
REQ-TODO-012,"Users shall be able to filter Todo items by All, Active, and Completed status.",original,COV-057,Test input field 'filter' with valid and invalid data,TS-038,Todo Filter Input Partition Suite,TC-139,Equivalence Partitioning,Medium
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-011,Test data range and boundaries: title:string,TS-039,Todo Validation Boundary Suite,TC-140,Boundary Value Analysis,Low
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-011,Test data range and boundaries: title:string,TS-039,Todo Validation Boundary Suite,TC-141,Boundary Value Analysis,Low
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-011,Test data range and boundaries: title:string,TS-039,Todo Validation Boundary Suite,TC-142,Boundary Value Analysis,Low
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-015,Test data range and boundaries: title:string,TS-039,Todo Validation Boundary Suite,TC-143,Boundary Value Analysis,Medium
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-015,Test data range and boundaries: title:string,TS-039,Todo Validation Boundary Suite,TC-144,Boundary Value Analysis,Medium
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-015,Test data range and boundaries: title:string,TS-039,Todo Validation Boundary Suite,TC-145,Boundary Value Analysis,Medium
