coverage_id,requirement_id,description,coverage_type,risk_level,related_techniques,tags,notes
COV-014,REQ-TODO-004,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: status changed to completed
COV-015,REQ-TODO-004,Validate condition: todo active,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: status changed to completed
COV-016,REQ-TODO-004,Test data range and boundaries: active,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: status changed to completed
COV-017,REQ-TODO-005,Verify core behavior: mark active,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: status changed to active
COV-018,REQ-TODO-005,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: status changed to active
COV-019,REQ-TODO-005,Validate condition: todo completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: status changed to active
COV-020,REQ-TODO-005,Test data range and boundaries: completed,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: status changed to active
COV-021,REQ-TODO-006,Verify core behavior: delete todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: todo removed
COV-022,REQ-TODO-006,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: todo removed
COV-023,REQ-TODO-006,Validate condition: todo exists,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: todo removed
COV-024,REQ-TODO-006,Test data range and boundaries: exists,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: todo removed
COV-025,REQ-TODO-007,Verify core behavior: display list,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: all todos shown
COV-026,REQ-TODO-007,Validate condition: any,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: all todos shown
COV-027,REQ-TODO-007,Test data range and boundaries: any,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: all todos shown
COV-028,REQ-TODO-008,Verify core behavior: keep todos,Functional,High,['Equivalence Partitioning'],['core'],Expected result basis: todos persist
COV-029,REQ-TODO-008,Validate condition: after refresh,Condition,High,['Decision Table Testing'],['condition'],Expected result basis: todos persist
COV-030,REQ-TODO-008,Test data range and boundaries: any,Boundary,High,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: todos persist
COV-031,REQ-TODO-009,Verify core behavior: create todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: todo created
COV-032,REQ-TODO-009,Test input field 'text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: todo created
COV-033,REQ-TODO-009,Validate condition: Enter key,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: todo created
COV-034,REQ-TODO-009,Test data range and boundaries: non-empty,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: todo created
COV-035,REQ-TODO-010,Verify core behavior: create todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: text trimmed
COV-036,REQ-TODO-010,Test input field 'text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: text trimmed
COV-037,REQ-TODO-010,Validate condition: trim,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: text trimmed
COV-038,REQ-TODO-010,Test data range and boundaries: has spaces,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: text trimmed
COV-039,REQ-TODO-011,Verify core behavior: reject creation,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: error
COV-040,REQ-TODO-011,Test input field 'text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: error
COV-041,REQ-TODO-011,Validate condition: text only spaces,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: error
COV-042,REQ-TODO-011,Test data range and boundaries: only spaces,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: error
COV-043,REQ-TODO-012,Verify core behavior: show validation,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: validation message
COV-044,REQ-TODO-012,Test input field 'text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: validation message
COV-045,REQ-TODO-012,Validate condition: creation fails,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: validation message
COV-046,REQ-TODO-012,Test data range and boundaries: invalid,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: validation message
COV-047,REQ-TODO-013,Verify core behavior: create todos,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: all created
COV-048,REQ-TODO-013,Test input field 'text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: all created
COV-049,REQ-TODO-013,Validate condition: multiple,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: all created
COV-050,REQ-TODO-013,Test data range and boundaries: different,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: all created
COV-051,REQ-TODO-014,Verify core behavior: preserve order,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: order maintained
COV-052,REQ-TODO-014,Validate condition: creation order,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: order maintained
COV-053,REQ-TODO-014,Test data range and boundaries: any,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: order maintained
COV-054,REQ-TODO-015,Verify core behavior: edit text,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: text updated
COV-055,REQ-TODO-015,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: text updated
COV-056,REQ-TODO-015,Test input field 'newText' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: text updated
COV-057,REQ-TODO-015,Validate condition: todo active,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: text updated
COV-058,REQ-TODO-015,Test data range and boundaries: active,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: text updated
COV-059,REQ-TODO-016,Verify core behavior: edit text,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: text updated
COV-060,REQ-TODO-016,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: text updated
COV-061,REQ-TODO-016,Test input field 'newText' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: text updated
COV-062,REQ-TODO-016,Validate condition: todo completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: text updated
COV-063,REQ-TODO-016,Test data range and boundaries: completed,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: text updated
COV-064,REQ-TODO-017,Verify core behavior: save edit,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: text saved
COV-065,REQ-TODO-017,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: text saved
COV-066,REQ-TODO-017,Test input field 'newText' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: text saved
COV-067,REQ-TODO-017,Validate condition: Enter key,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: text saved
COV-068,REQ-TODO-017,Test data range and boundaries: valid,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: text saved
COV-069,REQ-TODO-018,Verify core behavior: cancel edit,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: original text restored
COV-070,REQ-TODO-018,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: original text restored
COV-071,REQ-TODO-018,Validate condition: Escape key,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: original text restored
COV-072,REQ-TODO-018,Test data range and boundaries: editing,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: original text restored
COV-073,REQ-TODO-019,Verify core behavior: reject edit,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: error
COV-074,REQ-TODO-019,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: error
COV-075,REQ-TODO-019,Test input field 'newText' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: error
COV-076,REQ-TODO-019,Validate condition: edit empty,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: error
COV-077,REQ-TODO-019,Test data range and boundaries: empty,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: error
COV-078,REQ-TODO-020,Verify core behavior: reject edit,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: error
COV-079,REQ-TODO-020,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: error
COV-080,REQ-TODO-020,Test input field 'newText' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: error
COV-081,REQ-TODO-020,Validate condition: edit length>100,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: error
COV-082,REQ-TODO-020,Test data range and boundaries: length>100,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: error
COV-083,REQ-TODO-021,Verify core behavior: keep status,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: status unchanged
COV-084,REQ-TODO-021,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: status unchanged
COV-085,REQ-TODO-021,Test input field 'newText' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: status unchanged
COV-086,REQ-TODO-021,Validate condition: edit text,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: status unchanged
COV-087,REQ-TODO-021,Test data range and boundaries: any,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: status unchanged
COV-088,REQ-TODO-022,Verify core behavior: display update,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: text shown immediately
COV-089,REQ-TODO-022,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: text shown immediately
COV-090,REQ-TODO-022,Test input field 'newText' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: text shown immediately
COV-091,REQ-TODO-022,Validate condition: save edit,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: text shown immediately
COV-092,REQ-TODO-022,Test data range and boundaries: valid,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: text shown immediately
COV-093,REQ-TODO-023,Verify core behavior: mark all active as completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: all active completed
COV-094,REQ-TODO-023,Validate condition: mark all,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: all active completed
COV-095,REQ-TODO-023,Test data range and boundaries: active todos exist,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: all active completed
COV-096,REQ-TODO-024,Verify core behavior: mark all completed as active,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: all completed active
COV-097,REQ-TODO-024,Validate condition: mark all,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: all completed active
COV-098,REQ-TODO-024,Test data range and boundaries: completed todos exist,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: all completed active
COV-099,REQ-TODO-025,Verify core behavior: update state,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: state updated immediately
COV-100,REQ-TODO-025,Test input field 'todo' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: state updated immediately
COV-101,REQ-TODO-025,Validate condition: toggle,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: state updated immediately
COV-102,REQ-TODO-025,Test data range and boundaries: any,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: state updated immediately
COV-103,REQ-TODO-026,Verify core behavior: Toggle Todo completion state,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-104,REQ-TODO-026,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-105,REQ-TODO-027,Verify core behavior: Mark Todo as completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-106,REQ-TODO-027,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-107,REQ-TODO-027,Validate condition: Todo is completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-108,REQ-TODO-028,Verify core behavior: Mark Todo as completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-109,REQ-TODO-028,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-110,REQ-TODO-028,Validate condition: Todo is completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-111,REQ-TODO-029,Verify core behavior: The system shall support toggling completion state repeatedly.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-112,REQ-TODO-030,Verify core behavior: Mark Todo as completed,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-113,REQ-TODO-030,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-114,REQ-TODO-030,Validate condition: Todo is completed,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-115,REQ-TODO-031,Verify core behavior: Delete Todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: The selected Todo is removed from the list
COV-116,REQ-TODO-031,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The selected Todo is removed from the list
COV-117,REQ-TODO-031,Validate condition: Todo exists before deletion,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The selected Todo is removed from the list
COV-118,REQ-TODO-032,Verify core behavior: Delete Todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: The selected Todo is removed from the list
COV-119,REQ-TODO-032,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The selected Todo is removed from the list
COV-120,REQ-TODO-032,Validate condition: Todo is completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The selected Todo is removed from the list
COV-121,REQ-TODO-032,Validate condition: Todo exists before deletion,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The selected Todo is removed from the list
COV-122,REQ-TODO-033,Verify core behavior: Delete Todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: The selected Todo is removed from the list
COV-123,REQ-TODO-033,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The selected Todo is removed from the list
COV-124,REQ-TODO-033,Validate condition: Todo exists before deletion,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The selected Todo is removed from the list
COV-125,REQ-TODO-034,Verify core behavior: Delete Todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: The selected Todo is removed from the list
COV-126,REQ-TODO-034,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The selected Todo is removed from the list
COV-127,REQ-TODO-034,Validate condition: Todo exists before deletion,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The selected Todo is removed from the list
COV-128,REQ-TODO-035,Verify core behavior: Delete Todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-129,REQ-TODO-035,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-130,REQ-TODO-035,Validate condition: Todo exists before deletion,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-131,REQ-TODO-036,Verify core behavior: The system shall allow deleting the last remaining todo item.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-132,REQ-TODO-036,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-133,REQ-TODO-037,Verify core behavior: Delete Todo,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-134,REQ-TODO-037,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-135,REQ-TODO-037,Validate condition: Todo text is empty,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-136,REQ-TODO-037,Validate condition: Todo exists before deletion,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-137,REQ-TODO-038,Verify core behavior: Mark Todo as completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-138,REQ-TODO-038,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-139,REQ-TODO-038,Validate condition: Todo is completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-140,REQ-TODO-039,Verify core behavior: Mark Todo as completed,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-141,REQ-TODO-039,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-142,REQ-TODO-039,Validate condition: Todo is completed,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-143,REQ-TODO-040,Verify core behavior: Mark Todo as completed,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-144,REQ-TODO-040,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-145,REQ-TODO-040,Validate condition: Todo is completed,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-146,REQ-TODO-041,Verify core behavior: Display Todo list,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-147,REQ-TODO-041,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-148,REQ-TODO-042,Verify core behavior: The system shall show an empty state message when no todo items exist.,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-149,REQ-TODO-042,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-150,REQ-TODO-042,Validate condition: Todo text is empty,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-151,REQ-TODO-043,Verify core behavior: The system shall hide the todo list container when there are no todo items.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-152,REQ-TODO-043,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-153,REQ-TODO-044,Verify core behavior: The system shall show the todo list container when at least one item exists.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-154,REQ-TODO-044,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-155,REQ-TODO-044,Validate condition: Todo exists,Condition,Medium,['Decision Table Testing'],['condition'],
COV-156,REQ-TODO-045,Verify core behavior: Display Todo list,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-157,REQ-TODO-045,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-158,REQ-TODO-046,Verify core behavior: The system shall preserve readable spacing between todo items.,Functional,Low,['Equivalence Partitioning'],['core'],
COV-159,REQ-TODO-046,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-160,REQ-TODO-047,Verify core behavior: The user shall be able to view all todo items.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-161,REQ-TODO-047,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-162,REQ-TODO-048,Verify core behavior: The user shall be able to view only active todo items.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-163,REQ-TODO-048,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-164,REQ-TODO-049,Verify core behavior: Mark Todo as completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-165,REQ-TODO-049,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-166,REQ-TODO-049,Validate condition: Todo is completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-167,REQ-TODO-050,Verify core behavior: The system shall keep the selected filter visible to the user.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-168,REQ-TODO-051,Verify core behavior: The system shall update the active filter view after a todo item changes state.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-169,REQ-TODO-051,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-170,REQ-TODO-052,Verify core behavior: Mark Todo as completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-171,REQ-TODO-052,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-172,REQ-TODO-052,Validate condition: Todo is completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-173,REQ-TODO-053,Verify core behavior: The system shall show an empty filtered view when no item matches the selected filter.,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-174,REQ-TODO-053,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-175,REQ-TODO-053,Validate condition: Todo text is empty,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-176,REQ-TODO-054,Verify core behavior: The system shall preserve the selected filter after deleting a todo item.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-177,REQ-TODO-054,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-178,REQ-TODO-055,Verify core behavior: Display Todo list,Functional,Low,['Equivalence Partitioning'],['core'],
COV-179,REQ-TODO-055,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-180,REQ-TODO-056,Verify core behavior: Mark Todo as completed,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-181,REQ-TODO-056,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-182,REQ-TODO-056,Validate condition: Todo is completed,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-183,REQ-TODO-057,Verify core behavior: Create Todo,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: A valid Todo is created and displayed
COV-184,REQ-TODO-057,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: A valid Todo is created and displayed
COV-185,REQ-TODO-058,Verify core behavior: Mark Todo as completed,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-186,REQ-TODO-058,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
