requirement_id,requirement_text,module,coverage_id,coverage_description,coverage_type,related_techniques,tags,notes,technique,technique_standard,test_case_id,test_data,expected_result,priority,risk_level,coverage_risk_level,source,design_basis,llm_reason,strategy_reason,requirement_id_coverage,technique_strategy
REQ-TODO-062,The system shall save todo completion state to local storage.,Todo Persistence,COV-240,Test input field 'completion state' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-532,Representative invalid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Test input field 'completion state' with valid and invalid data,,Coverage item is 'Test input field' with valid and invalid data (Input type). State Transition Testing is not appropriate for input field validation. Equivalence Partitioning is the correct technique for testing valid/invalid data inputs.,REQ-TODO-062,Equivalence Partitioning
REQ-TODO-062,The system shall save todo completion state to local storage.,Todo Persistence,COV-241,Validate condition: state change,Condition,['Decision Table Testing'],['condition'],Expected result basis: saved,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-533,Rule 1: All required conditions are true,The permitted action is completed successfully.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: All required conditions are true,,"Coverage item is 'Validate condition: state change' (Condition type). While 'state change' is mentioned, the expected result is 'saved', which suggests condition-based logic (e.g., if completed, save). Decision Table Testing is more appropriate for condition-action pairs. State Transition Testing would be more suitable if the coverage item described lifecycle states (e.g., active -> completed).",REQ-TODO-062,Decision Table Testing
REQ-TODO-062,The system shall save todo completion state to local storage.,Todo Persistence,COV-241,Validate condition: state change,Condition,['Decision Table Testing'],['condition'],Expected result basis: saved,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-534,Rule 2: At least one required condition is false,The action is rejected or the alternative specified outcome occurs.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: At least one required condition is false,,"Coverage item is 'Validate condition: state change' (Condition type). While 'state change' is mentioned, the expected result is 'saved', which suggests condition-based logic (e.g., if completed, save). Decision Table Testing is more appropriate for condition-action pairs. State Transition Testing would be more suitable if the coverage item described lifecycle states (e.g., active -> completed).",REQ-TODO-062,Decision Table Testing
REQ-TODO-062,The system shall save todo completion state to local storage.,Todo Persistence,COV-242,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: saved,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-535,Boundary value: below lower boundary (generic lower invalid boundary),saved,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-062,Boundary Value Analysis
REQ-TODO-062,The system shall save todo completion state to local storage.,Todo Persistence,COV-242,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: saved,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-536,Boundary value: on lower boundary (generic lower valid boundary),saved,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-062,Boundary Value Analysis
REQ-TODO-062,The system shall save todo completion state to local storage.,Todo Persistence,COV-242,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: saved,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-537,Boundary value: above upper boundary (generic upper boundary review),saved,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-062,Boundary Value Analysis
REQ-TODO-063,The system shall save edited todo text to local storage.,Todo Persistence,COV-243,Verify core behavior: save text,Functional,['Equivalence Partitioning'],['core'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-538,Representative valid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: save text,,Coverage item is 'Verify core behavior: save text' (Functional type). This is a simple core action. Equivalence Partitioning is more suitable.,REQ-TODO-063,Equivalence Partitioning
REQ-TODO-063,The system shall save edited todo text to local storage.,Todo Persistence,COV-243,Verify core behavior: save text,Functional,['Equivalence Partitioning'],['core'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-539,Representative invalid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: save text,,Coverage item is 'Verify core behavior: save text' (Functional type). This is a simple core action. Equivalence Partitioning is more suitable.,REQ-TODO-063,Equivalence Partitioning
REQ-TODO-063,The system shall save edited todo text to local storage.,Todo Persistence,COV-244,Test input field 'edited text' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-540,Representative valid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Test input field 'edited text' with valid and invalid data,,Coverage item is 'Test input field' with valid and invalid data (Input type). Equivalence Partitioning is the primary technique for testing valid/invalid data inputs.,REQ-TODO-063,Equivalence Partitioning
REQ-TODO-063,The system shall save edited todo text to local storage.,Todo Persistence,COV-244,Test input field 'edited text' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: saved,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-541,Representative invalid partition data derived from the requirement,saved,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Test input field 'edited text' with valid and invalid data,,Coverage item is 'Test input field' with valid and invalid data (Input type). Equivalence Partitioning is the primary technique for testing valid/invalid data inputs.,REQ-TODO-063,Equivalence Partitioning
REQ-TODO-063,The system shall save edited todo text to local storage.,Todo Persistence,COV-245,Validate condition: after edit,Condition,['Decision Table Testing'],['condition'],Expected result basis: saved,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-542,Rule 1: All required conditions are true,The permitted action is completed successfully.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: All required conditions are true,,"Coverage item is 'Validate condition: after edit' (Condition type). Edit logic may involve multiple conditions (e.g., text changed, validation rules). Decision Table Testing is appropriate. No change needed.",REQ-TODO-063,Decision Table Testing
REQ-TODO-063,The system shall save edited todo text to local storage.,Todo Persistence,COV-245,Validate condition: after edit,Condition,['Decision Table Testing'],['condition'],Expected result basis: saved,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-543,Rule 2: At least one required condition is false,The action is rejected or the alternative specified outcome occurs.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: At least one required condition is false,,"Coverage item is 'Validate condition: after edit' (Condition type). Edit logic may involve multiple conditions (e.g., text changed, validation rules). Decision Table Testing is appropriate. No change needed.",REQ-TODO-063,Decision Table Testing
REQ-TODO-063,The system shall save edited todo text to local storage.,Todo Persistence,COV-246,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: saved,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-544,Boundary value: below lower boundary (generic lower invalid boundary),saved,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-063,Boundary Value Analysis
REQ-TODO-063,The system shall save edited todo text to local storage.,Todo Persistence,COV-246,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: saved,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-545,Boundary value: on lower boundary (generic lower valid boundary),saved,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-063,Boundary Value Analysis
REQ-TODO-063,The system shall save edited todo text to local storage.,Todo Persistence,COV-246,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: saved,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-546,Boundary value: above upper boundary (generic upper boundary review),saved,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-063,Boundary Value Analysis
REQ-TODO-064,The system shall remove deleted todo items from local storage.,Todo Persistence,COV-247,Verify core behavior: remove item,Functional,['Equivalence Partitioning'],['core'],Expected result basis: removed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-547,Representative valid partition data derived from the requirement,removed,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: remove item,,Coverage item is 'Verify core behavior: remove item' (Functional type). This is a simple core action. Equivalence Partitioning is more suitable.,REQ-TODO-064,Equivalence Partitioning
REQ-TODO-064,The system shall remove deleted todo items from local storage.,Todo Persistence,COV-247,Verify core behavior: remove item,Functional,['Equivalence Partitioning'],['core'],Expected result basis: removed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-548,Representative invalid partition data derived from the requirement,removed,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: remove item,,Coverage item is 'Verify core behavior: remove item' (Functional type). This is a simple core action. Equivalence Partitioning is more suitable.,REQ-TODO-064,Equivalence Partitioning
REQ-TODO-064,The system shall remove deleted todo items from local storage.,Todo Persistence,COV-248,Test input field 'deleted todo' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: removed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-549,Representative valid partition data derived from the requirement,removed,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Test input field 'deleted todo' with valid and invalid data,,Coverage item is 'Test input field' with valid and invalid data (Input type). Equivalence Partitioning is the primary technique for testing valid/invalid data inputs.,REQ-TODO-064,Equivalence Partitioning
REQ-TODO-064,The system shall remove deleted todo items from local storage.,Todo Persistence,COV-248,Test input field 'deleted todo' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: removed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-550,Representative invalid partition data derived from the requirement,removed,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Test input field 'deleted todo' with valid and invalid data,,Coverage item is 'Test input field' with valid and invalid data (Input type). Equivalence Partitioning is the primary technique for testing valid/invalid data inputs.,REQ-TODO-064,Equivalence Partitioning
REQ-TODO-064,The system shall remove deleted todo items from local storage.,Todo Persistence,COV-249,Validate condition: after deletion,Condition,['Decision Table Testing'],['condition'],Expected result basis: removed,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-551,Rule 1: All required conditions are true,The permitted action is completed successfully.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: All required conditions are true,,Coverage item is 'Validate condition: after deletion' (Condition type). Deletion logic may involve multiple conditions. Decision Table Testing is appropriate. No change needed.,REQ-TODO-064,Decision Table Testing
REQ-TODO-064,The system shall remove deleted todo items from local storage.,Todo Persistence,COV-249,Validate condition: after deletion,Condition,['Decision Table Testing'],['condition'],Expected result basis: removed,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-552,Rule 2: At least one required condition is false,The action is rejected or the alternative specified outcome occurs.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: At least one required condition is false,,Coverage item is 'Validate condition: after deletion' (Condition type). Deletion logic may involve multiple conditions. Decision Table Testing is appropriate. No change needed.,REQ-TODO-064,Decision Table Testing
REQ-TODO-064,The system shall remove deleted todo items from local storage.,Todo Persistence,COV-250,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: removed,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-553,Boundary value: below lower boundary (generic lower invalid boundary),removed,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-064,Boundary Value Analysis
REQ-TODO-064,The system shall remove deleted todo items from local storage.,Todo Persistence,COV-250,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: removed,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-554,Boundary value: on lower boundary (generic lower valid boundary),removed,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-064,Boundary Value Analysis
REQ-TODO-064,The system shall remove deleted todo items from local storage.,Todo Persistence,COV-250,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: removed,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-555,Boundary value: above upper boundary (generic upper boundary review),removed,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,Coverage item explicitly describes 'boundaries' for local storage. BVA is correct. No change needed.,REQ-TODO-064,Boundary Value Analysis
REQ-TODO-065,The system shall restore todo items from local storage on page load.,Todo Persistence,COV-251,Verify core behavior: restore todos,Functional,['Equivalence Partitioning'],['core'],Expected result basis: restored,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-556,Representative valid partition data derived from the requirement,restored,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: restore todos,,"Coverage item describes verifying core behavior (restore todos), which is a functional check of a single expected outcome, not a combination of conditions. Equivalence Partitioning is more suitable for testing a single functional behavior with valid/invalid partitions.",REQ-TODO-065,Equivalence Partitioning
REQ-TODO-065,The system shall restore todo items from local storage on page load.,Todo Persistence,COV-251,Verify core behavior: restore todos,Functional,['Equivalence Partitioning'],['core'],Expected result basis: restored,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-557,Representative invalid partition data derived from the requirement,restored,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: restore todos,,"Coverage item describes verifying core behavior (restore todos), which is a functional check of a single expected outcome, not a combination of conditions. Equivalence Partitioning is more suitable for testing a single functional behavior with valid/invalid partitions.",REQ-TODO-065,Equivalence Partitioning
REQ-TODO-065,The system shall restore todo items from local storage on page load.,Todo Persistence,COV-252,Test input field 'page load' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: restored,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-558,Representative valid partition data derived from the requirement,restored,High,High,High,Rule fallback - EP valid partition,Valid equivalence partition for: Test input field 'page load' with valid and invalid data,,"Coverage item tests input field 'page load' with valid and invalid data, which is a classic equivalence partitioning scenario (valid vs invalid inputs). No explicit boundary or range is described.",REQ-TODO-065,Equivalence Partitioning
REQ-TODO-065,The system shall restore todo items from local storage on page load.,Todo Persistence,COV-252,Test input field 'page load' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: restored,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-559,Representative invalid partition data derived from the requirement,restored,High,High,High,Rule fallback - EP invalid partition,Invalid equivalence partition for: Test input field 'page load' with valid and invalid data,,"Coverage item tests input field 'page load' with valid and invalid data, which is a classic equivalence partitioning scenario (valid vs invalid inputs). No explicit boundary or range is described.",REQ-TODO-065,Equivalence Partitioning
REQ-TODO-065,The system shall restore todo items from local storage on page load.,Todo Persistence,COV-253,Validate condition: on load,Condition,['Decision Table Testing'],['condition'],Expected result basis: restored,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-560,Rule 1: All required conditions are true,The permitted action is completed successfully.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: All required conditions are true,,"Coverage item validates a condition (on load), which may involve multiple conditions and actions. Decision Table Testing is appropriate for testing combinations of conditions.",REQ-TODO-065,Decision Table Testing
REQ-TODO-065,The system shall restore todo items from local storage on page load.,Todo Persistence,COV-253,Validate condition: on load,Condition,['Decision Table Testing'],['condition'],Expected result basis: restored,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-561,Rule 2: At least one required condition is false,The action is rejected or the alternative specified outcome occurs.,High,High,High,Rule fallback - Decision Table,Decision rule based on requirement conditions: At least one required condition is false,,"Coverage item validates a condition (on load), which may involve multiple conditions and actions. Decision Table Testing is appropriate for testing combinations of conditions.",REQ-TODO-065,Decision Table Testing
REQ-TODO-065,The system shall restore todo items from local storage on page load.,Todo Persistence,COV-254,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: restored,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-562,Boundary value: below lower boundary (generic lower invalid boundary),restored,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for local storage, making Boundary Value Analysis the correct technique.",REQ-TODO-065,Boundary Value Analysis
REQ-TODO-065,The system shall restore todo items from local storage on page load.,Todo Persistence,COV-254,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: restored,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-563,Boundary value: on lower boundary (generic lower valid boundary),restored,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for local storage, making Boundary Value Analysis the correct technique.",REQ-TODO-065,Boundary Value Analysis
REQ-TODO-065,The system shall restore todo items from local storage on page load.,Todo Persistence,COV-254,Test data range and boundaries: local storage,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: restored,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-564,Boundary value: above upper boundary (generic upper boundary review),restored,High,High,High,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for local storage, making Boundary Value Analysis the correct technique.",REQ-TODO-065,Boundary Value Analysis
