requirement_id,requirement_text,module,coverage_id,suite_id,suite_name,coverage_description,coverage_type,related_techniques,tags,notes,technique,technique_standard,test_case_id,test_data,expected_result,priority,risk_level,coverage_risk_level,source,design_basis,llm_reason,strategy_reason,requirement_id_coverage,technique_strategy
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-024,TS-001,TodoItem Boundary Suite,Test data range and boundaries: All,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-011,Boundary value: on lower boundary (generic lower valid boundary),filtered list shown,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for 'All' filter, which is a boundary condition. BVA is appropriate.",REQ-6,Boundary Value Analysis
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-024,TS-001,TodoItem Boundary Suite,Test data range and boundaries: All,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-012,Boundary value: above upper boundary (generic upper boundary review),filtered list shown,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for 'All' filter, which is a boundary condition. BVA is appropriate.",REQ-6,Boundary Value Analysis
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-025,TS-001,TodoItem Boundary Suite,Test data range and boundaries: Active,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-013,Boundary value: below lower boundary (generic lower invalid boundary),filtered list shown,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for 'Active' filter, which is a boundary condition. BVA is appropriate.",REQ-6,Boundary Value Analysis
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-025,TS-001,TodoItem Boundary Suite,Test data range and boundaries: Active,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-014,Boundary value: on lower boundary (generic lower valid boundary),filtered list shown,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for 'Active' filter, which is a boundary condition. BVA is appropriate.",REQ-6,Boundary Value Analysis
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-025,TS-001,TodoItem Boundary Suite,Test data range and boundaries: Active,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-015,Boundary value: above upper boundary (generic upper boundary review),filtered list shown,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"Coverage item explicitly tests data range and boundaries for 'Active' filter, which is a boundary condition. BVA is appropriate.",REQ-6,Boundary Value Analysis
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-026,TS-001,TodoItem Boundary Suite,Test data range and boundaries: Completed,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-016,Boundary value: below lower boundary (generic lower invalid boundary),filtered list shown,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"The coverage item explicitly tests data range and boundaries, which is the primary focus of Boundary Value Analysis. The technique is appropriate and no change is needed.",REQ-6,Boundary Value Analysis
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-026,TS-001,TodoItem Boundary Suite,Test data range and boundaries: Completed,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-017,Boundary value: on lower boundary (generic lower valid boundary),filtered list shown,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"The coverage item explicitly tests data range and boundaries, which is the primary focus of Boundary Value Analysis. The technique is appropriate and no change is needed.",REQ-6,Boundary Value Analysis
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-026,TS-001,TodoItem Boundary Suite,Test data range and boundaries: Completed,Boundary,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown,Boundary Value Analysis,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 boundary value analysis,TC-018,Boundary value: above upper boundary (generic upper boundary review),filtered list shown,Medium,Medium,Medium,Rule fallback - BVA,Values are selected on and around identifiable or inferred boundaries.,,"The coverage item explicitly tests data range and boundaries, which is the primary focus of Boundary Value Analysis. The technique is appropriate and no change is needed.",REQ-6,Boundary Value Analysis
REQ-7,Users shall be able to clear all completed Todo items at once,TodoItem,COV-029,TS-002,TodoItem Decision Rule Suite,Validate condition: user action,Condition,['Decision Table Testing'],['condition'],Expected result basis: completed items removed,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-019,Rule 1: All required conditions are true,The permitted action is completed successfully.,Medium,Medium,Medium,Rule fallback - Decision Table,Decision rule based on requirement conditions: All required conditions are true,,The coverage item validates a condition (user action) which implies multiple condition combinations. Decision Table Testing is appropriate for testing combinations of conditions and their corresponding actions.,REQ-7,Decision Table Testing
REQ-7,Users shall be able to clear all completed Todo items at once,TodoItem,COV-029,TS-002,TodoItem Decision Rule Suite,Validate condition: user action,Condition,['Decision Table Testing'],['condition'],Expected result basis: completed items removed,Decision Table Testing,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 decision table testing,TC-020,Rule 2: At least one required condition is false,The action is rejected or the alternative specified outcome occurs.,Medium,Medium,Medium,Rule fallback - Decision Table,Decision rule based on requirement conditions: At least one required condition is false,,The coverage item validates a condition (user action) which implies multiple condition combinations. Decision Table Testing is appropriate for testing combinations of conditions and their corresponding actions.,REQ-7,Decision Table Testing
REQ-1,Users shall be able to add a new Todo item to a specified List; input consisting only of whitespace shall not create an item,TodoItem,COV-003,TS-003,TodoItem Partition Suite,Validate condition: input is whitespace,Condition,['Decision Table Testing'],['condition'],Expected result basis: no item created,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-021,Representative valid partition data derived from the requirement,no item created,Medium,Medium,Medium,Rule fallback - EP valid partition,Valid equivalence partition for: Validate condition: input is whitespace,,"Coverage item validates a single condition (input is whitespace), which is a specific input value, not a combination of conditions. Equivalence Partitioning is more suitable for testing a specific input class.",REQ-1,Equivalence Partitioning
REQ-1,Users shall be able to add a new Todo item to a specified List; input consisting only of whitespace shall not create an item,TodoItem,COV-003,TS-003,TodoItem Partition Suite,Validate condition: input is whitespace,Condition,['Decision Table Testing'],['condition'],Expected result basis: no item created,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-022,Representative invalid partition data derived from the requirement,no item created,Medium,Medium,Medium,Rule fallback - EP invalid partition,Invalid equivalence partition for: Validate condition: input is whitespace,,"Coverage item validates a single condition (input is whitespace), which is a specific input value, not a combination of conditions. Equivalence Partitioning is more suitable for testing a specific input class.",REQ-1,Equivalence Partitioning
REQ-3,Users shall be able to edit the text of a Todo item by double-clicking; saving an empty title shall delete the item,TodoItem,COV-013,TS-003,TodoItem Partition Suite,Validate condition: save empty,Condition,['Decision Table Testing'],['condition'],Expected result basis: title updated or item deleted,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-023,Representative valid partition data derived from the requirement,title updated or item deleted,Medium,Medium,Medium,Rule fallback - EP valid partition,Valid equivalence partition for: Validate condition: save empty,,"Coverage item validates condition save empty title, which is a specific input value (empty string), not a boundary. Equivalence Partitioning is more suitable for testing a specific input class.",REQ-3,Equivalence Partitioning
REQ-3,Users shall be able to edit the text of a Todo item by double-clicking; saving an empty title shall delete the item,TodoItem,COV-013,TS-003,TodoItem Partition Suite,Validate condition: save empty,Condition,['Decision Table Testing'],['condition'],Expected result basis: title updated or item deleted,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-024,Representative invalid partition data derived from the requirement,title updated or item deleted,Medium,Medium,Medium,Rule fallback - EP invalid partition,Invalid equivalence partition for: Validate condition: save empty,,"Coverage item validates condition save empty title, which is a specific input value (empty string), not a boundary. Equivalence Partitioning is more suitable for testing a specific input class.",REQ-3,Equivalence Partitioning
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-023,TS-003,TodoItem Partition Suite,Validate condition: select filter,Condition,['Decision Table Testing'],['condition'],Expected result basis: filtered list shown,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-025,Representative valid partition data derived from the requirement,filtered list shown,Medium,Medium,Medium,Rule fallback - EP valid partition,Valid equivalence partition for: Validate condition: select filter,,"Coverage item validates condition select filter, which is a single action, not a combination of conditions. Equivalence Partitioning is more suitable for testing a specific input class.",REQ-6,Equivalence Partitioning
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-023,TS-003,TodoItem Partition Suite,Validate condition: select filter,Condition,['Decision Table Testing'],['condition'],Expected result basis: filtered list shown,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-026,Representative invalid partition data derived from the requirement,filtered list shown,Medium,Medium,Medium,Rule fallback - EP invalid partition,Invalid equivalence partition for: Validate condition: select filter,,"Coverage item validates condition select filter, which is a single action, not a combination of conditions. Equivalence Partitioning is more suitable for testing a specific input class.",REQ-6,Equivalence Partitioning
REQ-1,Users shall be able to add a new Todo item to a specified List; input consisting only of whitespace shall not create an item,TodoItem,COV-001,TS-004,TodoItem Partition Suite,Verify core behavior: add item,Functional,['Equivalence Partitioning'],['core'],Expected result basis: no item created,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-027,Representative valid partition data derived from the requirement,no item created,Medium,Medium,Medium,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: add item,,"Coverage item describes verifying core behavior (add item) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable for testing a single valid action.",REQ-1,Equivalence Partitioning
REQ-1,Users shall be able to add a new Todo item to a specified List; input consisting only of whitespace shall not create an item,TodoItem,COV-001,TS-004,TodoItem Partition Suite,Verify core behavior: add item,Functional,['Equivalence Partitioning'],['core'],Expected result basis: no item created,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-028,Representative invalid partition data derived from the requirement,no item created,Medium,Medium,Medium,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: add item,,"Coverage item describes verifying core behavior (add item) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable for testing a single valid action.",REQ-1,Equivalence Partitioning
REQ-2,Users shall be able to mark or unmark a Todo item as completed,TodoItem,COV-005,TS-004,TodoItem Partition Suite,Verify core behavior: toggle completed,Functional,['Equivalence Partitioning'],['core'],Expected result basis: status changed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-029,Representative valid partition data derived from the requirement,status changed,Low,Low,Low,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: toggle completed,,"Coverage item describes verifying core behavior (toggle completed) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-2,Equivalence Partitioning
REQ-2,Users shall be able to mark or unmark a Todo item as completed,TodoItem,COV-005,TS-004,TodoItem Partition Suite,Verify core behavior: toggle completed,Functional,['Equivalence Partitioning'],['core'],Expected result basis: status changed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-030,Representative invalid partition data derived from the requirement,status changed,Low,Low,Low,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: toggle completed,,"Coverage item describes verifying core behavior (toggle completed) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-2,Equivalence Partitioning
REQ-3,Users shall be able to edit the text of a Todo item by double-clicking; saving an empty title shall delete the item,TodoItem,COV-009,TS-004,TodoItem Partition Suite,Verify core behavior: edit title,Functional,['Equivalence Partitioning'],['core'],Expected result basis: title updated or item deleted,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-031,Representative valid partition data derived from the requirement,title updated or item deleted,Medium,Medium,Medium,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: edit title,,"Coverage item describes verifying core behavior (edit title) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-3,Equivalence Partitioning
REQ-3,Users shall be able to edit the text of a Todo item by double-clicking; saving an empty title shall delete the item,TodoItem,COV-009,TS-004,TodoItem Partition Suite,Verify core behavior: edit title,Functional,['Equivalence Partitioning'],['core'],Expected result basis: title updated or item deleted,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-032,Representative invalid partition data derived from the requirement,title updated or item deleted,Medium,Medium,Medium,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: edit title,,"Coverage item describes verifying core behavior (edit title) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-3,Equivalence Partitioning
REQ-4,Users shall be able to delete a single Todo item,TodoItem,COV-015,TS-004,TodoItem Partition Suite,Verify core behavior: delete item,Functional,['Equivalence Partitioning'],['core'],Expected result basis: item removed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-033,Representative valid partition data derived from the requirement,item removed,Low,Low,Low,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: delete item,,"Coverage item describes verifying core behavior (delete item) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-4,Equivalence Partitioning
REQ-4,Users shall be able to delete a single Todo item,TodoItem,COV-015,TS-004,TodoItem Partition Suite,Verify core behavior: delete item,Functional,['Equivalence Partitioning'],['core'],Expected result basis: item removed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-034,Representative invalid partition data derived from the requirement,item removed,Low,Low,Low,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: delete item,,"Coverage item describes verifying core behavior (delete item) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-4,Equivalence Partitioning
REQ-5,Users shall be able to toggle all Todo items to completed or active using a single control,TodoItem,COV-018,TS-004,TodoItem Partition Suite,Verify core behavior: toggle all,Functional,['Equivalence Partitioning'],['core'],Expected result basis: all toggled,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-035,Representative valid partition data derived from the requirement,all toggled,Medium,Medium,Medium,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: toggle all,,"Coverage item describes verifying core behavior (toggle all) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-5,Equivalence Partitioning
REQ-5,Users shall be able to toggle all Todo items to completed or active using a single control,TodoItem,COV-018,TS-004,TodoItem Partition Suite,Verify core behavior: toggle all,Functional,['Equivalence Partitioning'],['core'],Expected result basis: all toggled,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-036,Representative invalid partition data derived from the requirement,all toggled,Medium,Medium,Medium,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: toggle all,,"Coverage item describes verifying core behavior (toggle all) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-5,Equivalence Partitioning
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-021,TS-004,TodoItem Partition Suite,Verify core behavior: apply filter,Functional,['Equivalence Partitioning'],['core'],Expected result basis: filtered list shown,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-037,Representative valid partition data derived from the requirement,filtered list shown,Medium,Medium,Medium,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: apply filter,,"Coverage item describes verifying core behavior (apply filter) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-6,Equivalence Partitioning
REQ-6,Users shall be able to filter Todo items by All Active or Completed status,TodoItem,COV-021,TS-004,TodoItem Partition Suite,Verify core behavior: apply filter,Functional,['Equivalence Partitioning'],['core'],Expected result basis: filtered list shown,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-038,Representative invalid partition data derived from the requirement,filtered list shown,Medium,Medium,Medium,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: apply filter,,"Coverage item describes verifying core behavior (apply filter) which is a single functional scenario, not a combination of conditions. Equivalence Partitioning is more suitable.",REQ-6,Equivalence Partitioning
REQ-7,Users shall be able to clear all completed Todo items at once,TodoItem,COV-027,TS-004,TodoItem Partition Suite,Verify core behavior: clear completed,Functional,['Equivalence Partitioning'],['core'],Expected result basis: completed items removed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-039,Representative valid partition data derived from the requirement,completed items removed,Medium,Medium,Medium,Rule fallback - EP valid partition,Valid equivalence partition for: Verify core behavior: clear completed,,The coverage item 'Verify core behavior: clear completed' is a single functional behavior without multiple condition combinations. Decision Table Testing is overkill; Equivalence Partitioning is more suitable for testing a single action with valid/invalid inputs.,REQ-7,Equivalence Partitioning
REQ-7,Users shall be able to clear all completed Todo items at once,TodoItem,COV-027,TS-004,TodoItem Partition Suite,Verify core behavior: clear completed,Functional,['Equivalence Partitioning'],['core'],Expected result basis: completed items removed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-040,Representative invalid partition data derived from the requirement,completed items removed,Medium,Medium,Medium,Rule fallback - EP invalid partition,Invalid equivalence partition for: Verify core behavior: clear completed,,The coverage item 'Verify core behavior: clear completed' is a single functional behavior without multiple condition combinations. Decision Table Testing is overkill; Equivalence Partitioning is more suitable for testing a single action with valid/invalid inputs.,REQ-7,Equivalence Partitioning
REQ-1,Users shall be able to add a new Todo item to a specified List; input consisting only of whitespace shall not create an item,TodoItem,COV-002,TS-005,TodoItem Partition Suite,Test input field 'input' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: no item created,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-041,Representative valid partition data derived from the requirement,no item created,Medium,Medium,Medium,Rule fallback - EP valid partition,Valid equivalence partition for: Test input field 'input' with valid and invalid data,,"Coverage item tests input field with valid and invalid data, which is a classic equivalence partitioning scenario. BVA is more appropriate for boundary-specific tests, not general valid/invalid data testing.",REQ-1,Equivalence Partitioning
REQ-1,Users shall be able to add a new Todo item to a specified List; input consisting only of whitespace shall not create an item,TodoItem,COV-002,TS-005,TodoItem Partition Suite,Test input field 'input' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: no item created,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-042,Representative invalid partition data derived from the requirement,no item created,Medium,Medium,Medium,Rule fallback - EP invalid partition,Invalid equivalence partition for: Test input field 'input' with valid and invalid data,,"Coverage item tests input field with valid and invalid data, which is a classic equivalence partitioning scenario. BVA is more appropriate for boundary-specific tests, not general valid/invalid data testing.",REQ-1,Equivalence Partitioning
REQ-2,Users shall be able to mark or unmark a Todo item as completed,TodoItem,COV-006,TS-005,TodoItem Partition Suite,Test input field 'item' with valid and invalid data,Input,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: status changed,Equivalence Partitioning,ISTQB Foundation Level / ISO/IEC/IEEE 29119-4 equivalence partitioning,TC-043,Representative valid partition data derived from the requirement,status changed,Low,Low,Low,Rule fallback - EP valid partition,Valid equivalence partition for: Test input field 'item' with valid and invalid data,,"Coverage item tests input field with valid and invalid data, which is a classic equivalence partitioning scenario. BVA is not appropriate for general valid/invalid data testing.",REQ-2,Equivalence Partitioning
